Job Title,Location,Company founded,Employee Count,Description,Skills,Link
Tata Consultancy Services - Python Developer,Job available in Mumbai,Founded in 1968,More than 1000 employees,"TCS is a global level IT firm helping clients with Analytics, Automation & AI, Cloud Apps & Infra, Cognitive Business, Consulting, Cyber Security, Enterprise Applications, IoT, Quality Engineering, etc.","Django,Flask,CI - CD,MySQL",https://www.instahyre.com/job-295277-python-developer-at-tata-consultancy-services-mumbai/
The Chatterjee Group Real Estate - Senior Data Scientist,Job available in Mumbai,Founded in 1996,50 - 200 employees,"TCGRE is a commercial real estate company focusing on developing, financing, and investing for top-notch commercial properties across petrochemicals, software, life sciences, real estate, finance, and IT sectors.","Machine Learning,Computer Vision,NLP,Scikit-learn",https://www.instahyre.com/job-295297-senior-data-scientist-at-the-chatterjee-group-real-estate-mumbai/
Thimblerr - Full Stack Engineer,Job available in Gurgaon,Founded in 2022,0 - 10 employees,"Thimblerr combines cutting-edge tech and AI infrastructure to help varied brands reduce inventory risk and scale up by providing solutions across design, planning, sourcing, supply chain, and finance.","React.js,JavaScript",https://www.instahyre.com/job-295348-full-stack-engineer-at-thimblerr-gurgaon/
Walker Digital Table Systems - Embedded C++ Developer,Job available in Gurgaon,Founded in 2010,500 - 1000 employees,"Walker Digital Table Systems is a startup in the casino industry, it is the world's largest supplier of RFID-enabled table games and casino products for automating casino operations and minimizing losses.","Embedded C++,Firmware Development",https://www.instahyre.com/job-295300-embedded-c-developer-at-walker-digital-table-systems-gurgaon/
Wayfair - Senior Software Engineer,Job available in Bangalore,Founded in 2002,More than 1000 employees,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","Java,AWS,Monitoring,RDBMS",https://www.instahyre.com/job-295305-senior-software-engineer-at-wayfair-bangalore/
Wayfair - Software Engineer - II,Job available in Bangalore,Founded in 2002,More than 1000 employees,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","Java,Monitoring,AWS,Logging",https://www.instahyre.com/job-295301-software-engineer-ii-at-wayfair-bangalore/
Wint Wealth - Data Scientist,Job available in Bangalore,Founded in 2020,50 - 200 employees,Wint Wealth is an investment products introducer and financial service providing platform for retail investors to invest in assets that give higher than fixed deposit returns but are less risky than equities.,"Machine Learning,NLP,TensorFlow,Data Visualization",https://www.instahyre.com/job-295366-data-scientist-at-wint-wealth-bangalore/
Amazon Ads - Software Development Engineer - II,Job available in Bangalore,Founded in 2010,More than 1000 employees,"Amazon Ads helps brands of all sizes design ad experiences and craft relevant campaigns to delight customers around the world both on and off Amazon properties, currently catering to a 300+ million user base.","C++,Golang,Java,Ruby",https://www.instahyre.com/job-295134-software-development-engineer-ii-at-amazon-ads-bangalore/
Aumni Techworks - Python Developer,Job available in Pune,Founded in 2016,200 - 500 employees,"Aumni Techworks is an IT company that democratizes the software development landscape by providing project-based outsourcing services to contribute to the growth of global software companies, with lower investment.","AWS,Microservices",https://www.instahyre.com/job-295092-python-developer-at-aumni-techworks-pune/
D. E. Shaw - Technical Project Manager,"Job available in Gurgaon, Hyderabad",Founded in 1988,More than 1000 employees,D. E. Shaw is an investment management firm that develops technology products based around algorithmic trading and mathematical models to exploit market anomalies. Founded by Stanford alumni.,Java,https://www.instahyre.com/job-295091-technical-project-manager-at-d-e-gurgaon-hyderabad/
Delhivery - Senior Support Engineer - Python,Job available in Gurgaon,Founded in 2011,More than 1000 employees,"Delhivery is a fulfilment platform for digital commerce specializing in Omni-channel solutions, Order fulfilment solutions, Reverse Logistics, Payment collection, Express shipping, Logistics Technology, etc.","Django,Flask",https://www.instahyre.com/job-295136-senior-support-engineer-python-at-delhivery-gurgaon/
eloelo - SDE - 2,Job available in Bangalore,Founded in 2020,50 - 200 employees,"eloelo is India's 1st vernacular-friendly lifestyle platform with influencer-driven content, community, and gamified rewards specializing in the world of beauty, fashion, wellness, lifestyle and entertainment.","Golang,Java",https://www.instahyre.com/job-295146-sde-2-at-eloelo-bangalore/
Freshworks - Senior Engineering Manager - Backend,Job available in Chennai,Founded in 2010,More than 1000 employees,"Freshworks is a cloud-based business management applications provider company. The product portfolio includes customer support software, CRM software, IT service management software, call center software and more.","Golang,Java,JavaScript,Ruby,Hibernate,J2EE,+5,jQuery,Node.js,Ruby on Rails,Spring,Struts",https://www.instahyre.com/job-295096-senior-engineering-manager-backend-at-freshworks-chennai/
Freshworks - Senior Principal Engineer,Job available in Bangalore,Founded in 2010,More than 1000 employees,"Freshworks is a cloud-based business management applications provider company. The product portfolio includes customer support software, CRM software, IT service management software, call center software and more.","Golang,Java,Ruby,Scala,Hibernate,J2EE,+3,Ruby on Rails,Spring,Struts",https://www.instahyre.com/job-295131-senior-principal-engineer-at-freshworks-bangalore/
GreenBlock Technologies - Backend Developer,Job available in Bangalore,Founded in 2020,0 - 10 employees,GreenBlock Technologies is an IT company that gathers real-time data and creates immutable tamper-proof data records throughout the supply chain using Blockchain and IoT as a service.,"Java,Node.js",https://www.instahyre.com/job-295166-backend-developer-at-greenblock-technologies-bangalore/
Nexthink - SDET - Endpoint,Job available in Bangalore,Founded in 2004,500 - 1000 employees,"Nexthink is a software company known for its digital employee experience management software. It offers features like real-time analytics, instant remediation, automation, and employee feedback, etc.","Robot Framework,Functional Testing,+2,Performance Testing,SDET",https://www.instahyre.com/job-295140-sdet-endpoint-at-nexthink-bangalore/
nference - Senior Software Engineer - (DE + BE),Job available in Bangalore,Founded in 2013,200 - 500 employees,nference is an AI-powered firm that partners with medical centers to turn electronic medical records into software solutions while making biomedical knowledge computable for solving healthcare problems.,"Spark,PySpark,Django,MySQL",https://www.instahyre.com/job-295102-senior-software-engineer-de-be-at-nference-2-bangalore/
nference - Software Engineer,Job available in Bangalore,Founded in 2013,200 - 500 employees,nference is an AI-powered firm that partners with medical centers to turn electronic medical records into software solutions while making biomedical knowledge computable for solving healthcare problems.,"Spark,Django,NoSQL,Hadoop",https://www.instahyre.com/job-295165-software-engineer-at-nference-2-bangalore/
NomiSo - Senior RoR Developer,Job available in Work From Home,Founded in 2021,10 - 50 employees,"NomiSo is an AI-driven product engineering company assisting startups to large organizations, offering services in consulting, data analytics, digital solutions, and engineering across all verticals and domains.",Ruby on Rails,https://www.instahyre.com/job-295127-senior-ror-developer-at-nomiso-work-from-home/
PriceLabs - Sr. Data Scientist,Job available in Bangalore,Founded in 2014,10 - 50 employees,"PriceLabs is an innovative & easy to use revenue management tool for vacation & short term rental industry providing a data-driven approach, automation rules & customizations to manage pricing & stay restrictions.","SQL,Machine Learning,Logistic Regression",https://www.instahyre.com/job-295129-sr-data-scientist-at-pricelabs-bangalore/
Shopflo - Software Developer - Backend,Job available in Bangalore,Founded in 2021,10 - 50 employees,Shopflo is a checkout platform for new-age e-commerce that has created a platform for D2C brands to help them maximize revenue from each of their customers while building a community of merchants.,"Golang,Java,Node.js,Django,Express.js,Spring",https://www.instahyre.com/job-295160-software-developer-backend-at-shopflo-bangalore/
SiftHub - Senior Software Engineer - Backend,Job available in Mumbai,Founded in 2023,0 - 10 employees,SiftHub is a technology company that empowers businesses in the sales industry with an AI assistant that crafts contextual responses and automates workflows to boost productivity and elevate sales responses.,"Django,Flask,DevOps,Docker",https://www.instahyre.com/job-295215-senior-software-engineer-backend-at-sifthub-mumbai/
slice - Backend - SDE 3,Job available in Bangalore,Founded in 2016,More than 1000 employees,"-slicepay is a fin-tech startup that offers payment card designed for customers in the age group of 18-29 that comes with a pre-approved Rupay credit line backed by investors like Finup, Blume ventures, etc.","C,C++,Golang,Java,Node.js,Ruby,Django,+7,Express.js,Flask,Hibernate,J2EE,Ruby on Rails,Spring,Struts",https://www.instahyre.com/job-295138-backend-sde-3-at-slice-bangalore/
slice - SDET - 3,Job available in Bangalore,Founded in 2016,More than 1000 employees,"-slicepay is a fin-tech startup that offers payment card designed for customers in the age group of 18-29 that comes with a pre-approved Rupay credit line backed by investors like Finup, Blume ventures, etc.","Automation Testing,Mobile Apps Testing,+7,Performance Testing,SDET,Appium,Java,JavaScript,JMeter,Selenium",https://www.instahyre.com/job-295152-sdet-3-at-slice-bangalore/
TIFIN - VP of Technology,Job available in Bangalore,Founded in 2018,50 - 200 employees,"TIFIN is a venture capital firm that conceives, creates, and operates fintech companies in the areas of wealth management, investments, personal finance, and asset management.","Django,Node.js,React.js",https://www.instahyre.com/job-295112-vp-of-technology-at-tifin-bangalore/
Wayfair - Senior Software Engineer - Engineering Effectiveness,Job available in Bangalore,Founded in 2002,More than 1000 employees,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","Java,SQL,C#,AWS",https://www.instahyre.com/job-295176-senior-software-engineer-engineering-effectiveness-at-wayfair-bangalore/
"Wayfair - Software Engineer - II, Engineering Effectiveness",Job available in Bangalore,Founded in 2002,More than 1000 employees,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","Java,C++,SQL,AWS",https://www.instahyre.com/job-295177-software-engineer-ii-engineering-effectiveness-at-wayfair-bangalore/
Airveda - Full Stack Developer,Job available in Gurgaon,Founded in 2016,10 - 50 employees,"Airveda is trying to help people breathe well by creating products that can monitor air quality and improve it as well. It also has a mobile app which updates users on real time AQI, suggests actions and provides experts advices.","JavaScript,Angular,Django,React.js,Vue.js",https://www.instahyre.com/job-295088-full-stack-developer-at-airveda-gurgaon/
Allen Career Institute - Staff Software Engineer - Backend,Job available in Bangalore,Founded in 1988,More than 1000 employees,"Allen is a career coaching institute that offers classroom, distance learning, and online courses to students who are appearing for national-level entrance exams while operating across 35 cities nationwide.","Java,Data Structures,Golang,Algorithms",https://www.instahyre.com/job-295082-staff-software-engineer-backend-at-allen-career-institute-bangalore/
Delhivery - QA Engineer,Job available in Gurgaon,Founded in 2011,More than 1000 employees,"Delhivery is a fulfilment platform for digital commerce specializing in Omni-channel solutions, Order fulfilment solutions, Reverse Logistics, Payment collection, Express shipping, Logistics Technology, etc.","Automation Testing,Manual Testing,Mobile Apps Testing,+7,Performance Testing,SDET,Security Testing,Appium,Java,JMeter,Selenium",https://www.instahyre.com/job-295040-qa-engineer-at-delhivery-gurgaon/
Desynova - Backend Developer,Job available in Work From Home,Founded in 2016,50 - 200 employees,"Desynova is an Internet-based, Broadcasting & Media Production company that acquires content from production centres & deliver it to national playout centres; offers native cloud, metadata harvesting, etc.","Django,MongoDB",https://www.instahyre.com/job-295001-backend-developer-at-desynova-work-from-home/
Desynova - Data Scientist,Job available in Work From Home,Founded in 2016,50 - 200 employees,"Desynova is an Internet-based, Broadcasting & Media Production company that acquires content from production centres & deliver it to national playout centres; offers native cloud, metadata harvesting, etc.","NLP,Computer Vision,PyTorch,NumPy",https://www.instahyre.com/job-295004-data-scientist-at-desynova-work-from-home/
ITech Software Solution - Python Lead,Job available in Bhopal,Founded in 2007,50 - 200 employees,"ITech Software Solution is a global IT and consulting firm that helps multiple enterprises by offering end-to-end, cutting-edge software solutions including mobile app development and data warehouse services.",Django,https://www.instahyre.com/job-294970-python-lead-at-itech-software-solution-bhopal/
Kotak Mahindra Bank - VP Analytics,Job available in Mumbai,Founded in 1985,More than 1000 employees,"Kotak Mahindra is a financial services conglomerate that offers banking products and solutions for commercial banking, stock broking, mutual funds, life insurance, and investment banking.","Machine Learning,MLOps,Neural Networks,NLP",https://www.instahyre.com/job-295008-vp-analytics-at-kotak-mahindra-bank-mumbai/
Kutumb - SDE3,Job available in Bangalore,Founded in 2020,50 - 200 employees,"Kutumb is an Indian community app. Wherein for every registered community it acts as a full-fledged social network platform, where members can browse content, explore, connect, and communicate with each other.","Golang,Java,Node.js,Scala",https://www.instahyre.com/job-295061-sde3-at-kutumb-bangalore/
nference - Senior SDET,Job available in Coimbatore,Founded in 2013,200 - 500 employees,nference is an AI-powered firm that partners with medical centers to turn electronic medical records into software solutions while making biomedical knowledge computable for solving healthcare problems.,"UI Testing,pytest,Docker,Shell Scripting",https://www.instahyre.com/job-295038-senior-sdet-at-nference-2-coimbatore/
nference - Senior Software Engineer - Data Engineering Backend,Job available in Bangalore,Founded in 2013,200 - 500 employees,nference is an AI-powered firm that partners with medical centers to turn electronic medical records into software solutions while making biomedical knowledge computable for solving healthcare problems.,"Django,Spark,SQL,Hadoop",https://www.instahyre.com/job-295057-senior-software-engineer-data-engineering-backend-at-nference-2-bangalore/
Petasense - Hardware Design Engineer,Job available in Bangalore,Founded in 2014,10 - 50 employees,"Petasense is a wireless organization that provides services related to machine health using Industrial IoT and machine learning analytics, specializing in Wireless Monitoring, Predictive Maintenance, etc.","Embedded Systems,C++,UART,Firmware Development",https://www.instahyre.com/job-295036-hardware-design-engineer-at-petasense-bangalore/
R Systems International - Senior Software Engineer - Azure Migration,Job available in Noida,Founded in 1993,More than 1000 employees,"R Systems is an specialized IT Services & Solutions provider of Deep Analytics, Robotic Process Automation, QA & Testing, App Development, KPO/BPO, Supply Chain Solutions & Mobile Broadband Management.","Azure,Terraform,Data Migration,DevOps",https://www.instahyre.com/job-295000-senior-software-engineer-azure-migration-at-r-systems-international-noida/
SigTech - Python Developer,Job available in Bangalore,Founded in 2019,50 - 200 employees,"SigTech specializes in offering a future-proof quant trading platform to global investment managers that validates financial data and provides the tools to research, build, and deploy customized strategies.","PySpark,pytest,pandas,NumPy",https://www.instahyre.com/job-295050-python-developer-at-sigtech-bangalore/
sybill.ai - Technical Support Engineer,Job available in Work From Home,Founded in 2020,0 - 10 employees,Sybill offers a conversational intelligence platform. It uses computer vision and AI to give actionable insights to the speaker enabling them to understand and connect better to online video meeting participants.,"Technical Support,Customer Service,AWS,JavaScript",https://www.instahyre.com/job-294963-technical-support-engineer-at-sybill-work-from-home/
Tao - Data Engineer,Job available in Bangalore,Founded in 2021,10 - 50 employees,"Tao is a national competition-organizing company that enables students to learn, grow and become financially independent by organizing competitions for them across academic, co-curricular, and sports categories.","Machine Learning,DevOps,AWS,pandas",https://www.instahyre.com/job-295087-data-engineer-at-tao-bangalore/
Tao - Python / Machine Learning Engineer,Job available in Bangalore,Founded in 2021,10 - 50 employees,"Tao is a national competition-organizing company that enables students to learn, grow and become financially independent by organizing competitions for them across academic, co-curricular, and sports categories.","Machine Learning,AWS,DevOps,pandas",https://www.instahyre.com/job-295052-python-machine-learning-engineer-at-tao-bangalore/
Tredence Inc - Associate Manager - L3 / Data Architect - L4,Job available in Work From Home,Founded in 2013,500 - 1000 employees,"Tredence Inc is a Management Consulting company that specializes in solutions related to Data Visualization, BI Solutions, Advanced Analytics, Tableau Services, Analytics Consulting, etc.","Databricks,Azure,SQL,PySpark",https://www.instahyre.com/job-295014-associate-manager-l3-data-architect-l4-at-tredence-inc-work-from-home/
TVS Credit Services - Data Analyst,Job available in Chennai,Founded in 2009,More than 1000 employees,"TVS Credit Services is a Financial Services company that offers Commercial Vehicles Loans, Business Loans, etc. It has been listed among the Top 40 in India's leading BFSI companies 2019 by Dun&Bradstreet.",SQL,https://www.instahyre.com/job-295020-data-analyst-at-tvs-credit-services-chennai/
UrbanPiper - Engineering Manager,Job available in Bangalore,Founded in 2016,10 - 50 employees,"UrbanPiper is an IT & Services company that offers products, which include customizable websites & apps, a feature-rich CMS + CRM dashboard to manage and analyze online presence.","Django,Flask,JavaScript",https://www.instahyre.com/job-295070-engineering-manager-at-urbanpiper-bangalore/
WorkSpan - SDET,Job available in Bangalore,Founded in 2014,50 - 200 employees,"WorkSpan has created a software of Alliance Relationship Management Network where partners automate & report on joint sales, marketing, solutions, etc. Their clients include Infosys, Funworks, Lenovo and others.","SDET,Automation Testing,Java,API Testing",https://www.instahyre.com/job-294969-sdet-at-workspan-bangalore/
Amazon - Technical Support,Job available in Work From Home,Founded in 1994,More than 1000 employees,"Amazon is the world's largest online retailer. The company has been referred to as ""one of the most influential economic and cultural forces in the world"", as well as the world's most valuable brand.","Customer Service,Technical Support,IT Support,+1,Key Account Management",https://www.instahyre.com/job-294811-technical-support-at-amazon-work-from-home/
Augnito - Senior DevOps Engineer,Job available in Bangalore,Founded in 2019,200 - 500 employees,"Augnito is a voice recognition software co-designed by doctors and AI scientists to improve the quality of clinical documentation enabling doctors to edit, format, and complete reports with speed and accuracy.","AWS,CI - CD,DevOps,Ansible",https://www.instahyre.com/job-294920-senior-devops-engineer-at-augnito-bangalore/
BitGo - Staff Backend Engineer,Job available in Bangalore,Founded in 2013,50 - 200 employees,"BitGo is an institutional digital asset and crypto platform with liquidity, custody, wallet, exchange, and security services, processing 20% of all global Bitcoin transactions and supports 250+ coins and tokens.","Golang,Java,Node.js",https://www.instahyre.com/job-294810-staff-backend-engineer-at-bitgo-bangalore/
Citi - Generative AI Research Engineering Lead,Job available in Pune,Founded in 1900,More than 1000 employees,"Citibank is the consumer division of financial services multinational Citigroup. Citibank India offers a wide range of Credit Cards, Banking Accounts, and Loans besides Wealth Management, Insurance Services, Investments Options, etc.","Kubernetes,MLOps,NLP,Helm",https://www.instahyre.com/job-294847-generative-ai-research-engineering-lead-at-citi-pune/
DynamoFL - Quality Assurance,Job available in Work From Home,Founded in 2021,10 - 50 employees,DynamoFL is an AI-based technology company that enables enterprise teams to train highly personalized ML models without ever having to collect user data and delivers faster generative AI solutions.,"Quality Assurance,pytest,Jest",https://www.instahyre.com/job-294855-quality-assurance-at-dynamofl-work-from-home/
Explorex - SDE - 3,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Explorex is an all-in-one ecosystem of software suite and business management platform that solves order management, operations management, online delivery, and more for several retail stores and restaurants.","Java,Golang,Spring Boot,Data Structures",https://www.instahyre.com/job-294828-sde-3-at-explorex-bangalore/
GeoIQ - Data Scientist,Job available in Bangalore,Founded in 2018,10 - 50 employees,"GeoIQ empowers business analysts to data scientists, to turn location data into business outcomes. Its platform and APIs offer insights on where things happen, why they happen and helps predict what will happen.","SQL,Machine Learning",https://www.instahyre.com/job-294962-data-scientist-at-geoiq-bangalore/
Kadel Labs - Lead Automation Test Engineer,Job available in Bangalore,Founded in 2017,50 - 200 employees,Kadel Labs is a global software technology systems incubator that nurtures startups from inception till they become self-sustainable corporate firms by offering SaaS products and driving digital transformation.,"Automation Testing,Mobile Apps Testing,+7,Performance Testing,SDET,Security Testing,Appium,Java,JMeter,Selenium",https://www.instahyre.com/job-294925-lead-automation-test-engineer-at-kadel-labs-bangalore/
Klimb.io - Principal Engineer,Job available in Bangalore,Founded in 2015,10 - 50 employees,"Klimb provides a cloud-based recruitment process management suite. Offers a product that aims to bring speed and intelligence to recruitment, and a learning platform which helps recruiters with tech hiring.","Golang,Java,Spring Boot,Microservices",https://www.instahyre.com/job-294938-principal-engineer-at-klimb-bangalore/
Nexthink - SRE / DevOps,Job available in Bangalore,Founded in 2004,500 - 1000 employees,"Nexthink is a software company known for its digital employee experience management software. It offers features like real-time analytics, instant remediation, automation, and employee feedback, etc.","Bash,AWS,Terraform,Ansible",https://www.instahyre.com/job-294852-sre-devops-at-nexthink-bangalore/
Nykaa - Engineering Manager,Job available in Bangalore,Founded in 2012,200 - 500 employees,"Nykaa is an eCommerce store focused on beauty and wellness products for both men and women, along with product reviews, tips and tricks regarding beauty products. Also operates offline stores. Has raised over $25 million in funding till date.","Java,Spring,Engineering Management,Node.js",https://www.instahyre.com/job-294934-engineering-manager-at-nykaa-bangalore/
R Systems International - Azure Migration Specialist,Job available in Noida,Founded in 1993,More than 1000 employees,"R Systems is an specialized IT Services & Solutions provider of Deep Analytics, Robotic Process Automation, QA & Testing, App Development, KPO/BPO, Supply Chain Solutions & Mobile Broadband Management.","Data Migration,Azure,Terraform,Azure DevOps Server",https://www.instahyre.com/job-294927-azure-migration-specialist-at-r-systems-international-noida/
Rubrik - Software Engineer,Job available in Bangalore,Founded in 2015,500 - 1000 employees,"Rubik provides converged data management platform for enterprise. Product combines backup and recovery software with de-duplicated storage onto a single system with a web interface. Based in Palo Alto, USA.","C,C++,Golang,Java,Scala",https://www.instahyre.com/job-294803-software-engineer-at-rubrik-2-bangalore/
Squadcast - Technical Solution Engineer,Job available in Work From Home,Founded in 2017,10 - 50 employees,"Squadcast is an IT & Services company that specializes in solutions wrt DevOps, Site Reliability Engineering, Incident Resolution, Cloud Reliability, Cloud Monitoring, Alert Management, etc.","JavaScript,MongoDB,React.js,PostgreSQL",https://www.instahyre.com/job-294787-technical-solution-engineer-at-squadcast-work-from-home/
Squareshift - Lead QA,Job available in Hyderabad,Founded in 2019,50 - 200 employees,"SquareShift caters to a cloud-based platform for enterprises, specializing in a DevOps Enablement package helps the enterprises to build a fully automated DevOps infrastructure and deployment pipelines.","Automation Testing,Manual Testing,SDET,Cucumber,+3,Java,JavaScript,Selenium",https://www.instahyre.com/job-294932-lead-qa-at-squareshift-hyderabad/
Tao - Python Developer,Job available in Bangalore,Founded in 2021,10 - 50 employees,"Tao is a national competition-organizing company that enables students to learn, grow and become financially independent by organizing competitions for them across academic, co-curricular, and sports categories.","Machine Learning,pandas,AWS,DevOps",https://www.instahyre.com/job-294935-python-developer-at-tao-bangalore/
Tredence Inc - Associate Manager,Job available in Bangalore,Founded in 2013,500 - 1000 employees,"Tredence Inc is a Management Consulting company that specializes in solutions related to Data Visualization, BI Solutions, Advanced Analytics, Tableau Services, Analytics Consulting, etc.","Azure,PySpark,SQL,Spark",https://www.instahyre.com/job-294822-associate-manager-at-tredence-inc-bangalore/
Wednesday Solutions - Full Stack Developer,Job available in Pune,Founded in 2015,0 - 10 employees,"Wednesday Solutions is a computer software organization that provides services related to UI/UX Design, Web Development, Software Engineering, Design, Design Strategy, Architecture Review, etc.","React.js,Node.js,AWS,SQL",https://www.instahyre.com/job-294839-full-stack-developer-at-wednesday-solutions-pune/
Wednesday Solutions - Full Stack Developer,Job available in Pune,Founded in 2015,0 - 10 employees,"Wednesday Solutions is a computer software organization that provides services related to UI/UX Design, Web Development, Software Engineering, Design, Design Strategy, Architecture Review, etc.","React.js,Node.js,AWS,Data Structures",https://www.instahyre.com/job-294819-full-stack-developer-at-wednesday-solutions-pune/
Zipy - Backend Developer,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Zipy is a software development and observability platform that aims to help engineers, developers, and QA teams from various enterprises with debugging, advanced Dev tools, and various such tech products.","Java,Kafka,Hadoop,Spark",https://www.instahyre.com/job-294944-backend-developer-at-zipy-bangalore/
Acceldata - Senior SDET,Job available in Bangalore,Founded in 2018,50 - 200 employees,"Acceldata is building products for more effective Data Operations by providing optimisation along BI, Data Science, Analytics and Streaming Systems, ultimately improving performance.","Java,Performance Testing,SDET",https://www.instahyre.com/job-294726-senior-sdet-at-acceldata-bangalore/
Altimetrik - Data Engineer,Job available in Work From Home,Founded in 2012,More than 1000 employees,"Altimetrik is an IT company that provides technology solutions to enterprises in areas of Digital, Connected Solutions and Consumer Technologies. Has offices globally including India, Singapore, UAE and Uruguay.",SQL,https://www.instahyre.com/job-294721-data-engineer-at-altimetrik-work-from-home/
Amazon Ads - Software Development Engineer II,Job available in Bangalore,Founded in 2010,More than 1000 employees,"Amazon Ads helps brands of all sizes design ad experiences and craft relevant campaigns to delight customers around the world both on and off Amazon properties, currently catering to a 300+ million user base.","C,C++,Java",https://www.instahyre.com/job-294757-software-development-engineer-ii-at-amazon-ads-bangalore/
